Subject,Filename,Onset,Apex,Offset,AU,Expression type,Objective class
spNO.3,h,1172,1179,1198,L1+L2,Micro-expression,II
spNO.5,c,18,24,37,7,Micro-expression,VII
spNO.215,b,101,106,120,1,Micro-expression,V
spNO.188,e,8,8,39,2+1,Micro-expression,II
spNO.169,k,1782,1790,1816,4+R2,Micro-expression,VII
spNO.77,g,353,360,420,4,Micro-expression,III
spNO.189,e,8,8,28,14,Micro-expression,VII
spNO.10,a,116,121,125,16+24,Micro-expression,VII
spNO.10,i,2030,2035,2098,4,Micro-expression,III
spNO.162,c,3059,3067,3077,4,Micro-expression,III
spNO.197,i,1305,1310,1322,5,Micro-expression,II
spNO.189,l,233,240,250,15,Micro-expression,V
spNO.200,m,101,109,150,2+1+14,Micro-expression,VII
spNO.15,j,31,37,46,R14,Micro-expression,VII
spNO.142,m,2231,2236,2253,L14,Micro-expression,VII
spNO.169,m,817,825,846,4,Micro-expression,III
spNO.184,k,149,154,161,4,Micro-expression,III
spNO.42,i,2461,2468,2532,24,Micro-expression,VII
spNO.1,f,1568,1572,1581,4,Micro-expression,III
spNO.216,e,0,0,25,14,Micro-expression,VII
spNO.208,d,1013,1020,1028,5,Micro-expression,II
spNO.202,l,7,7,22,14,Micro-expression,VII
spNO.10,i,2864,2868,2874,14,Micro-expression,VII
spNO.160,i,1418,1425,1482,4,Micro-expression,III
spNO.181,d,2376,2383,2390,5,Micro-expression,II
spNO.179,l,1071,1077,1093,R2+R1,Micro-expression,II
spNO.171,l,1758,1763,1769,4,Micro-expression,III
spNO.200,b,518,524,533,9,Micro-expression,IV
spNO.216,m,622,632,637,L7,Micro-expression,VII
spNO.165,b,31,38,52,4,Micro-expression,III
spNO.208,m,47,51,55,R2+R1,Micro-expression,II
spNO.171,d,274,280,304,4,Micro-expression,III
spNO.210,f,961,967,1005,38,Micro-expression,VII
spNO.202,f,45,52,60,16,Micro-expression,VII
spNO.208,m,1272,1280,1289,4,Micro-expression,III
spNO.160,e,888,894,900,4,Micro-expression,III
spNO.202,j,570,577,611,14,Micro-expression,VII
spNO.169,c,2297,2305,2319,24,Micro-expression,VII
spNO.169,j,123,129,192,7,Micro-expression,VII
spNO.160,l,1278,1284,1291,4,Micro-expression,III
spNO.206,f,117,122,141,1+2+5,Micro-expression,VII
spNO.150,c,1985,1987,1995,1,Micro-expression,V
spNO.203,i,5,5,198,14,Micro-expression,VII
spNO.148,c,801,806,845,4,Micro-expression,III
spNO.41,a,879,884,917,4,Micro-expression,III
spNO.163,e,600,607,618,R14,Micro-expression,VII
spNO.40,e,1812,1824,1845,18,Micro-expression,VII
spNO.160,i,1311,1316,1321,5,Micro-expression,II
spNO.148,c,2341,2347,2372,4,Micro-expression,III
spNO.9,g,980,987,1046,4,Micro-expression,III
spNO.171,m,2213,2221,2256,L14,Micro-expression,VII
spNO.7,a,40,46,54,4,Micro-expression,III
spNO.11,a,8,15,22,26,Micro-expression,VII
spNO.189,f,7,7,70,14,Micro-expression,VII
spNO.160,f,1833,1841,1872,2+1,Micro-expression,II
spNO.10,l,1086,1090,1094,4,Micro-expression,III
spNO.175,k,2169,2177,2186,4,Micro-expression,III
spNO.207,h,98,106,127,7,Micro-expression,VII
spNO.160,m,36,43,49,4,Micro-expression,III
spNO.215,m,877,883,905,9,Micro-expression,IV
spNO.2,b,106,110,149,14,Micro-expression,VII
spNO.177,k,1333,1341,1369,10,Micro-expression,IV
spNO.160,i,3307,3314,3329,4,Micro-expression,III
spNO.160,i,1874,1881,1894,4,Micro-expression,III
spNO.176,d,7,13,41,14,Micro-expression,VII
spNO.172,h,206,214,219,R10,Micro-expression,IV
spNO.204,j,697,701,706,5,Micro-expression,II
spNO.12,a,322,327,336,7,Micro-expression,VII
spNO.42,j,1730,1737,1758,1+2,Micro-expression,II
spNO.189,h,1196,1204,1222,9,Micro-expression,IV
spNO.207,e,271,278,296,2+1,Micro-expression,II
spNO.156,d,204,211,217,38+24+10+9,Micro-expression,VII
spNO.196,i,643,647,662,4,Micro-expression,III
spNO.77,f,609,614,621,4,Micro-expression,III
spNO.8,l,1366,1372,1388,14,Micro-expression,VII
spNO.148,d,2657,2662,2665,4,Micro-expression,III
spNO.160,i,1940,1948,1955,38+4,Micro-expression,III
spNO.189,m,270,274,340,14+9+4,Micro-expression,VII
spNO.153,d,4563,4570,4589,R20,Micro-expression,VI
spNO.4,l,2410,2418,2444,4,Micro-expression,III
spNO.160,g,1786,1792,1805,14,Micro-expression,VII
spNO.208,e,1267,1273,1293,5,Micro-expression,II
spNO.206,l,2601,2608,2613,1,Micro-expression,V
spNO.12,a,385,392,404,7,Micro-expression,VII
spNO.159,k,2462,2468,2482,2+1,Micro-expression,II
spNO.209,l,268,272,301,14,Micro-expression,VII
spNO.42,m,1289,1297,1321,4,Micro-expression,III
spNO.152,f,1152,1156,1164,24,Micro-expression,VII
spNO.160,l,1091,1099,1111,2+1,Micro-expression,II
spNO.160,d,542,545,550,17,Micro-expression,VII
spNO.1,a,355,359,360,5,Micro-expression,II
spNO.189,h,77,85,95,T18,Micro-expression,VII
spNO.171,m,2469,2474,2485,4,Micro-expression,III
spNO.148,i,133,139,147,2+1,Micro-expression,II
spNO.150,f,2080,2089,2095,R14,Micro-expression,VII
spNO.201,m,360,364,369,2+1,Micro-expression,II
spNO.167,j,69,76,84,4,Micro-expression,III
spNO.148,l,1349,1353,1364,4,Micro-expression,III
spNO.3,f,141,147,162,L18,Micro-expression,VII
spNO.153,k,8,15,47,28+14,Micro-expression,VII
spNO.154,h,259,267,352,14,Micro-expression,VII
spNO.42,e,2646,2654,2667,4,Micro-expression,III
spNO.184,h,3418,3424,3428,4,Micro-expression,III
spNO.206,h,95,101,116,R2+R1,Micro-expression,II
spNO.216,b,67,73,103,R14,Micro-expression,VII
spNO.194,c,2708,2716,2741,14,Micro-expression,VII
spNO.3,l,1145,1152,1180,38,Micro-expression,VII
spNO.160,h,1575,1583,1594,4,Micro-expression,III
spNO.17,a,127,135,175,2+1,Micro-expression,II
spNO.217,l,3201,3208,3219,24,Micro-expression,VII
spNO.184,j,227,234,241,4,Micro-expression,III
spNO.160,i,3770,3776,3788,4,Micro-expression,III
spNO.206,g,113,121,138,2+1,Micro-expression,II
spNO.202,j,78,86,111,14,Micro-expression,VII
spNO.208,m,178,183,198,4,Micro-expression,III
spNO.197,k,543,548,566,24,Micro-expression,VII
spNO.142,a,634,642,647,12,Micro-expression,I
spNO.144,d,3048,3055,3063,L2+L1,Micro-expression,II
spNO.207,m,26,34,48,24+T18+16,Micro-expression,VII
spNO.175,f,7,7,42,14,Micro-expression,VII
spNO.192,b,889,897,975,4,Micro-expression,III
spNO.162,d,26,33,49,14,Micro-expression,VII
spNO.181,d,3290,3298,3304,5,Micro-expression,II
spNO.189,g,367,372,376,9+4,Micro-expression,IV
spNO.40,c,8,8,45,14+24,Micro-expression,VII
spNO.189,j,166,168,171,9,Micro-expression,IV
spNO.171,m,8,12,55,14,Micro-expression,VII
spNO.169,d,747,751,774,24,Micro-expression,VII
spNO.215,a,221,229,250,1,Micro-expression,V
spNO.193,e,110,113,117,4,Micro-expression,III
spNO.189,i,173,181,185,9+4,Micro-expression,IV
spNO.149,i,1826,1832,1833,24,Micro-expression,VII
spNO.156,a,340,348,380,2+1,Micro-expression,II
spNO.189,e,2095,2101,2105,9+4,Micro-expression,IV
spNO.160,e,635,643,651,2+1,Micro-expression,II
spNO.189,h,37,44,66,9,Micro-expression,IV
spNO.160,d,4076,4081,4088,4,Micro-expression,III
spNO.42,i,3547,3555,3581,24,Micro-expression,VII
spNO.138,c,721,728,739,7,Micro-expression,VII
spNO.174,k,12,14,35,14,Micro-expression,VII
spNO.5,e,1631,1638,1647,7,Micro-expression,VII
spNO.210,c,110,117,135,14,Micro-expression,VII
spNO.39,i,3188,3196,3215,18,Micro-expression,VII
spNO.197,l,933,942,948,5,Micro-expression,II
spNO.154,i,1336,1342,1366,7+4,Micro-expression,III
spNO.178,j,1184,1188,1192,24,Micro-expression,VII
spNO.11,m,1855,1863,1870,R2,Micro-expression,VII
spNO.14,J,1012,1019,1038,14,Micro-expression,VII
spNO.3,l,2693,2697,2727,14,Micro-expression,VII
spNO.186,c,337,343,352,22,Micro-expression,VII
spNO.150,e,2277,2278,2282,4,Micro-expression,III
spNO.217,a,233,241,262,1+2,Micro-expression,II
spNO.150,c,916,922,948,26+25,Micro-expression,II
spNO.8,e,295,301,308,4,Micro-expression,III
spNO.144,a,20,27,33,R12,Micro-expression,I
spNO.150,j,747,753,760,4,Micro-expression,III
spNO.3,f,94,99,110,14,Micro-expression,VII
spNO.177,d,4170,4180,4183,5,Micro-expression,II
spNO.146,d,1607,1615,1638,L12,Micro-expression,I
spNO.171,d,48,56,63,4,Micro-expression,III
spNO.153,d,3484,3491,3534,4,Micro-expression,III
spNO.215,k,7,7,42,14,Micro-expression,VII
spNO.5,c,486,494,499,5,Micro-expression,II
spNO.153,j,274,280,288,5,Micro-expression,II
spNO.171,h,1890,1897,1915,4,Micro-expression,III
spNO.190,d,4121,4126,4175,38,Micro-expression,VII
spNO.202,m,1,1,70,14,Micro-expression,VII
spNO.171,l,3881,3887,3900,4,Micro-expression,III
spNO.189,h,2441,2444,2448,9,Micro-expression,IV
spNO.215,i,549,556,576,1,Micro-expression,V
spNO.11,i,797,807,811,12,Micro-expression,I
spNO.190,k,2187,2195,2203,38,Micro-expression,VII
spNO.160,k,2426,2433,2450,4,Micro-expression,III
spNO.148,e,881,889,896,4,Micro-expression,III
spNO.11,m,1602,1609,1621,R14,Micro-expression,VII
spNO.5,e,1923,1927,1935,7,Micro-expression,VII
spNO.155,h,1984,1992,2009,14,Micro-expression,VII
spNO.178,m,33,40,48,4,Micro-expression,III
spNO.197,l,662,669,674,5,Micro-expression,II
spNO.160,m,1261,1267,1282,4,Micro-expression,III
spNO.147,f,1473,1477,1504,5,Micro-expression,II
spNO.144,g,884,890,898,L2+L1,Micro-expression,II
spNO.160,e,459,464,469,4,Micro-expression,III
spNO.174,j,205,212,221,14,Micro-expression,VII
spNO.179,k,1407,1415,1438,4,Micro-expression,III
spNO.144,l,1102,1105,1115,R14,Micro-expression,VII
spNO.197,l,1995,1998,2004,5,Micro-expression,II
spNO.207,c,366,372,380,4,Micro-expression,III
spNO.39,j,855,860,897,14,Micro-expression,VII
spNO.184,i,3339,3347,3354,L7,Micro-expression,VII
spNO.8,b,128,135,146,16+24,Micro-expression,VII
spNO.40,e,2327,2363,2403,14,Micro-expression,VII
spNO.160,m,1286,1294,1302,4,Micro-expression,III
spNO.207,a,303,308,346,4,Micro-expression,III
spNO.144,h,553,560,601,4,Micro-expression,III
spNO.181,j,24,32,42,4,Micro-expression,III
spNO.160,i,3733,3741,3756,4,Micro-expression,III
spNO.170,k,868,874,878,14,Micro-expression,VII
spNO.210,c,3207,3211,3215,9+4,Micro-expression,IV
spNO.142,h,1426,1429,1436,R14,Micro-expression,VII
spNO.148,b,336,342,348,4,Micro-expression,III
spNO.189,e,148,153,156,6+9+4,Micro-expression,VII
spNO.150,j,1728,1731,1743,4,Micro-expression,III
spNO.77,i,535,540,552,4,Micro-expression,III
spNO.175,d,2730,2736,2753,5,Micro-expression,II
spNO.40,g,1232,1239,1274,L14,Micro-expression,VII
spNO.206,h,35,40,46,R2+R1,Micro-expression,II
spNO.169,i,379,384,388,24,Micro-expression,VII
spNO.8,f,1064,1068,1155,14,Micro-expression,VII
spNO.206,j,19,25,30,R2,Micro-expression,VII
spNO.193,h,16,19,21,4,Micro-expression,III
spNO.144,g,1659,1665,1680,14,Micro-expression,VII
spNO.172,k,89,96,108,14,Micro-expression,VII
spNO.148,b,811,815,820,4,Micro-expression,III
spNO.184,h,3411,3414,3417,4,Micro-expression,III
spNO.2,a,237,241,258,5,Micro-expression,II
spNO.144,m,928,935,943,R14,Micro-expression,VII
spNO.148,m,1598,1603,1614,1,Micro-expression,V
spNO.216,i,1853,1859,1872,4,Micro-expression,III
spNO.189,h,644,647,659,9,Micro-expression,IV
spNO.8,e,1035,1040,1098,14,Micro-expression,VII
spNO.143,i,2895,2902,2910,39,Micro-expression,VII
spNO.206,e,338,346,358,R1+R2,Micro-expression,II
spNO.181,d,1023,1030,1097,2+1,Micro-expression,II
spNO.40,e,1731,1736,1749,L14,Micro-expression,VII
spNO.193,e,193,196,199,4,Micro-expression,III
spNO.160,c,3216,3224,3258,4,Micro-expression,III
spNO.189,i,461,467,532,14,Micro-expression,VII
spNO.210,f,412,419,459,38,Micro-expression,VII
spNO.210,k,546,553,571,38,Micro-expression,VII
spNO.148,f,1385,1391,1396,4,Micro-expression,III
spNO.215,b,899,903,906,24,Micro-expression,VII
spNO.215,f,1692,1699,1706,24,Micro-expression,VII
spNO.216,m,1311,1319,1344,7,Micro-expression,VII
spNO.184,f,5,12,23,22,Micro-expression,VII
spNO.210,a,62,69,78,12,Micro-expression,I
spNO.10,d,162,164,165,5,Micro-expression,II
spNO.189,g,1812,1819,1843,2+1,Micro-expression,II
spNO.3,e,1353,1360,1371,24,Micro-expression,VII
spNO.217,k,959,967,986,24,Micro-expression,VII
spNO.172,k,1898,1903,1908,R10,Micro-expression,IV
spNO.168,a,4,4,34,14,Micro-expression,VII
spNO.182,g,88,96,127,1,Micro-expression,V
spNO.150,g,734,737,765,2+1,Micro-expression,II
spNO.171,e,2825,2827,2856,6,Micro-expression,I
spNO.166,l,2573,2579,2628,1,Micro-expression,V
spNO.160,d,1497,1501,1505,14,Micro-expression,VII
spNO.40,k,286,291,337,14,Micro-expression,VII
spNO.6,j,1683,1689,1692,14,Micro-expression,VII
spNO.184,j,1324,1330,1343,4,Micro-expression,III
spNO.1,j,28,33,49,24,Micro-expression,VII
spNO.196,i,389,393,402,4,Micro-expression,III
spNO.193,e,183,187,191,4,Micro-expression,III
spNO.142,c,2843,2851,2870,24+14,Micro-expression,VII
spNO.210,k,1361,1369,1390,14,Micro-expression,VII
spNO.2,g,4,4,74,14,Micro-expression,VII
spNO.165,j,78,86,116,4,Micro-expression,III
spNO.171,h,2941,2948,2963,4,Micro-expression,III
spNO.209,i,3296,3302,3329,14,Micro-expression,VII
spNO.216,j,1,1,84,12,Micro-expression,I
spNO.208,c,1898,1906,1929,4,Micro-expression,III
spNO.215,d,4206,4213,4231,1+2,Micro-expression,II
spNO.201,c,7,7,23,2+1+5,Micro-expression,VII
spNO.160,i,1281,1286,1298,2+1,Micro-expression,II
spNO.208,c,1706,1714,1739,4,Micro-expression,III
spNO.169,i,1088,1093,1104,24,Micro-expression,VII
spNO.206,e,377,385,393,R2+R1,Micro-expression,II
spNO.148,f,1464,1468,1474,4,Micro-expression,III
spNO.200,g,1942,1947,1961,7,Micro-expression,VII
spNO.182,a,742,749,769,1,Micro-expression,V
spNO.188,c,309,317,333,2+1,Micro-expression,II
spNO.214,b,5,7,16,2+1,Micro-expression,II
spNO.148,k,2590,2595,2599,4,Micro-expression,III
spNO.214,k,4,7,28,1+2,Micro-expression,II
spNO.148,c,161,166,174,4,Micro-expression,III
spNO.189,j,56,62,65,9,Micro-expression,IV
spNO.14,a,474,481,688,38,Micro-expression,VII
spNO.142,g,1566,1570,1578,24,Micro-expression,VII
spNO.2,k,185,191,200,L2+L1,Micro-expression,II
spNO.181,g,958,966,1020,4,Micro-expression,III
spNO.171,l,3553,3559,3569,4,Micro-expression,III
spNO.11,k,375,381,388,24,Micro-expression,VII
spNO.1,e,96,102,106,R12,Micro-expression,I
spNO.42,d,3555,3561,3589,1,Micro-expression,V
spNO.148,b,204,213,218,4,Micro-expression,III
spNO.216,c,2367,2375,2389,7,Micro-expression,VII
spNO.192,j,1522,1530,1555,14,Micro-expression,VII
spNO.42,j,1778,1782,1795,4,Micro-expression,III
spNO.42,d,2843,2850,2868,4,Micro-expression,III
spNO.8,c,7,7,76,14,Micro-expression,VII
spNO.195,j,1109,1116,1141,24,Micro-expression,VII
spNO.156,b,38,43,50,24,Micro-expression,VII
spNO.175,b,62,65,70,L2+L1,Micro-expression,II
spNO.160,l,79,85,93,4,Micro-expression,III
spNO.215,b,948,951,964,38,Micro-expression,VII
spNO.194,h,1427,1433,1444,2+1,Micro-expression,II
spNO.209,c,221,228,262,14,Micro-expression,VII
spNO.8,k,1043,1047,1099,4,Micro-expression,III
spNO.42,a,215,222,238,1,Micro-expression,V
spNO.198,f,54,62,72,2+1,Micro-expression,II
spNO.152,d,2556,2561,2565,4,Micro-expression,III
spNO.202,k,7,7,96,14,Micro-expression,VII
spNO.210,d,4099,4106,4134,38,Micro-expression,VII
spNO.165,e,7,11,19,4,Micro-expression,III
spNO.206,d,2056,2063,2086,1+2,Micro-expression,II
spNO.39,a,179,184,201,5,Micro-expression,II
spNO.15,j,1157,1165,1173,14,Micro-expression,VII
spNO.11,a,26,30,37,4,Micro-expression,III
spNO.171,d,542,548,552,4,Micro-expression,III
spNO.147,d,1146,1150,1163,5,Micro-expression,II
spNO.153,d,2152,2159,2191,R20,Micro-expression,VI
spNO.207,j,24,30,48,4,Micro-expression,III
spNO.181,m,1322,1326,1438,4,Micro-expression,III
spNO.209,j,661,668,709,14,Micro-expression,VII
spNO.215,h,3233,3236,3250,1,Micro-expression,V
spNO.215,f,127,135,151,1,Micro-expression,V
spNO.215,e,446,448,453,9+6,Micro-expression,VII
spNO.207,h,1843,1850,1955,R14,Micro-expression,VII
spNO.187,l,3437,3444,3484,B28,Micro-expression,VII
spNO.177,d,7,14,72,14,Micro-expression,VII
spNO.201,e,596,601,607,2+1,Micro-expression,II
spNO.160,c,2054,2061,2070,4,Micro-expression,III
spNO.148,m,337,343,359,4,Micro-expression,III
spNO.189,j,780,785,809,14,Micro-expression,VII
spNO.194,m,1954,1957,1971,17+15,Micro-expression,V
spNO.169,i,1647,1653,1665,24,Micro-expression,VII
spNO.167,j,1692,1697,1705,2+1,Micro-expression,II
spNO.4,a,547,555,564,17,Micro-expression,VII
spNO.5,e,771,779,796,7,Micro-expression,VII
spNO.167,h,85,92,103,2+1,Micro-expression,II
spNO.189,m,551,559,617,9+4+14,Micro-expression,VII
spNO.11,a,205,207,212,25,Micro-expression,II
spNO.201,i,50,57,62,16+23+2+1,Micro-expression,VII
spNO.11,f,13,13,40,2+1,Micro-expression,II
spNO.162,i,3898,3900,3932,14,Micro-expression,VII
spNO.142,h,2991,3001,3006,38,Micro-expression,VII
spNO.40,e,1970,1972,1985,L14,Micro-expression,VII
spNO.200,k,387,395,414,17,Micro-expression,VII
spNO.197,k,1146,1154,1182,24,Micro-expression,VII
spNO.204,b,276,284,298,14,Micro-expression,VII
spNO.180,j,1670,1676,1686,2+1,Micro-expression,II
spNO.189,h,610,617,643,14,Micro-expression,VII
spNO.160,e,341,345,349,4,Micro-expression,III
spNO.171,g,2298,2306,2335,4,Micro-expression,III
spNO.181,m,423,428,503,2+1,Micro-expression,II
spNO.181,m,34,41,46,4+L2,Micro-expression,VII
spNO.203,d,7,7,195,14,Micro-expression,VII
spNO.160,e,1749,1752,1758,4,Micro-expression,III
spNO.171,h,1340,1347,1363,4,Micro-expression,III
spNO.4,k,92,100,291,4,Micro-expression,III
spNO.189,d,101,104,107,9+4,Micro-expression,IV
spNO.194,c,2209,2216,2228,2+1,Micro-expression,II
spNO.8,e,223,229,257,14,Micro-expression,VII
spNO.161,f,1572,1579,1599,2+1,Micro-expression,II
spNO.153,j,1573,1579,1586,5+2+1,Micro-expression,VII
spNO.207,l,474,479,496,4,Micro-expression,III
spNO.40,i,2771,2777,2804,22,Micro-expression,VII
spNO.148,f,597,601,607,4,Micro-expression,III
spNO.139,l,463,470,477,4,Micro-expression,III
spNO.181,i,3276,3281,3335,2+1,Micro-expression,II
spNO.149,g,233,237,265,24,Micro-expression,VII
spNO.12,j,31,38,46,4,Micro-expression,III
spNO.11,m,2240,2245,2255,14,Micro-expression,VII
spNO.181,j,258,262,278,R2,Micro-expression,VII
spNO.160,k,2754,2760,2774,15,Micro-expression,V
spNO.196,b,269,274,291,38,Micro-expression,VII
spNO.147,e,1058,1069,1071,5,Micro-expression,II
spNO.197,m,324,331,343,5,Micro-expression,II
spNO.197,d,108,115,128,24,Micro-expression,VII
spNO.174,e,442,450,469,10+4,Micro-expression,VII
spNO.194,m,125,132,151,2+1,Micro-expression,II
spNO.150,f,2035,2042,2049,L14,Micro-expression,VII
spNO.217,l,164,172,200,7,Micro-expression,VII
spNO.165,c,945,949,954,2+1,Micro-expression,II
spNO.181,m,876,882,928,2+1,Micro-expression,II
spNO.2,d,1101,1107,1129,38,Micro-expression,VII
spNO.207,c,3285,3293,3353,4,Micro-expression,III
spNO.204,k,721,727,777,14,Micro-expression,VII
spNO.17,m,959,966,974,9,Micro-expression,IV
spNO.172,k,1877,1882,1891,18,Micro-expression,VII
spNO.215,e,7,7,59,14,Micro-expression,VII
spNO.3,d,88,93,113,1+2,Micro-expression,II
spNO.149,m,1318,1325,1337,25+18,Micro-expression,VII
spNO.156,b,181,186,189,4,Micro-expression,III
spNO.203,d,2067,2074,2120,2+1,Micro-expression,II
spNO.189,k,287,293,297,9+4,Micro-expression,IV
spNO.195,k,1377,1383,1398,24,Micro-expression,VII
spNO.207,b,358,365,389,1+2,Micro-expression,II
spNO.13,j,598,604,611,4,Micro-expression,III
spNO.195,h,7,7,79,14,Micro-expression,VII
spNO.174,m,7,8,45,14,Micro-expression,VII
spNO.171,l,933,941,982,1,Micro-expression,V
spNO.215,d,3177,3184,3210,24,Micro-expression,VII
spNO.77,m,250,257,275,4,Micro-expression,III
spNO.160,h,694,698,715,4,Micro-expression,III
spNO.204,b,670,678,698,14,Micro-expression,VII
spNO.10,j,1565,1573,1613,R10,Micro-expression,IV
spNO.175,g,329,335,355,2+1+7,Micro-expression,VII
spNO.186,c,359,365,473,14,Micro-expression,VII
spNO.184,c,466,471,490,24+14,Micro-expression,VII
spNO.171,f,668,674,705,4,Micro-expression,III
spNO.195,i,2844,2851,2886,14,Micro-expression,VII
spNO.189,i,271,275,280,9+4,Micro-expression,IV
spNO.160,d,2952,2958,3007,4,Micro-expression,III
spNO.201,g,165,170,175,2+1,Micro-expression,II
spNO.160,h,2816,2824,2837,14,Micro-expression,VII
spNO.194,i,245,253,268,2+1,Micro-expression,II
spNO.179,k,1493,1499,1525,2+1,Micro-expression,II
spNO.190,m,8,8,737,1,Micro-expression,V
spNO.160,e,586,592,597,2+1,Micro-expression,II
spNO.184,i,8,8,23,18,Micro-expression,VII
spNO.216,h,1788,1793,1800,7,Micro-expression,VII
spNO.7,c,406,414,432,4+10+5,Micro-expression,VII
spNO.194,d,1888,1894,1903,4,Micro-expression,III
spNO.39,e,302,310,336,5,Micro-expression,II
spNO.202,e,7,7,487,14,Micro-expression,VII
spNO.181,k,1288,1296,1313,1,Micro-expression,V
spNO.156,d,1117,1122,1132,2+1,Micro-expression,II
spNO.42,m,2168,2175,2207,4,Micro-expression,III
spNO.195,k,7,7,242,14,Micro-expression,VII
spNO.169,l,1424,1429,1487,24,Micro-expression,VII
spNO.189,m,780,784,788,9+4,Micro-expression,IV
spNO.189,i,111,116,120,9+4,Micro-expression,IV
spNO.207,c,5,5,38,4,Micro-expression,III
spNO.160,e,1433,1439,1447,2+1,Micro-expression,II
spNO.204,e,1651,1659,1679,38,Micro-expression,VII
spNO.157,b,112,120,132,4,Micro-expression,III
spNO.194,i,8,14,20,17,Micro-expression,VII
spNO.193,m,23,26,31,4,Micro-expression,III
spNO.160,d,3034,3042,3049,24,Micro-expression,VII
spNO.157,g,7,14,171,14,Micro-expression,VII
spNO.215,d,3392,3398,3433,23+14,Micro-expression,VII
spNO.152,i,118,119,122,4,Micro-expression,III
spNO.210,c,1473,1479,1494,14,Micro-expression,VII
spNO.197,d,1686,1692,1745,2+1,Micro-expression,II
spNO.210,h,2079,2086,2155,14,Micro-expression,VII
spNO.11,d,1982,1986,1990,L2,Micro-expression,VII
spNO.142,i,518,525,532,4,Micro-expression,III
spNO.193,a,8,8,130,14,Micro-expression,VII
spNO.160,f,569,576,586,2+1,Micro-expression,II
spNO.171,b,138,146,193,14,Micro-expression,VII
spNO.171,g,1604,1612,1653,1,Micro-expression,V
spNO.201,m,381,388,397,2+1,Micro-expression,II
spNO.217,k,1412,1420,1431,24,Micro-expression,VII
spNO.77,k,7,7,56,14,Micro-expression,VII
spNO.10,j,1348,1351,1356,15,Micro-expression,V
