Subject,Filename,Onset,Apex,Offset,AU,Expression type,Objective class
spNO.184,k,2727,2738,2776,4,Macro-expression,III
spNO.152,j,778,791,822,24+14,Macro-expression,VII
spNO.162,c,3194,3208,3216,4,Macro-expression,III
spNO.171,h,1487,1501,1527,1,Macro-expression,V
spNO.208,c,2127,2168,2197,4,Macro-expression,III
spNO.194,m,1074,1087,1173,4,Macro-expression,III
spNO.169,k,1958,1968,1997,12,Macro-expression,I
spNO.41,a,533,551,583,4,Macro-expression,III
spNO.142,f,5,18,122,14+2+1,Macro-expression,VII
spNO.148,d,2668,2674,2680,14,Micro-expression,VII
spNO.160,h,481,488,494,4,Micro-expression,III
spNO.207,a,28,56,111,4+7+14+24,Macro-expression,VII
spNO.177,k,1333,1341,1369,10,Micro-expression,IV
spNO.11,m,1855,1863,1870,R2,Micro-expression,VII
spNO.2,e,339,390,541,24+15+14+17,Macro-expression,VII
spNO.169,g,727,752,832,4+R2,Macro-expression,VII
spNO.142,j,1789,1876,1927,28+16+14,Macro-expression,VII
spNO.7,a,79,185,246,12,Macro-expression,I
spNO.140,g,8,39,188,12,Macro-expression,I
spNO.181,k,37,83,161,4+2+1,Macro-expression,VI
spNO.14,J,298,327,355,14,Macro-expression,VII
spNO.155,h,1984,1992,2009,14,Micro-expression,VII
spNO.195,a,279,444,501,14+12+28,Macro-expression,VII
spNO.163,a,255,321,341,12,Macro-expression,I
spNO.212,l,297,322,374,14+38,Macro-expression,VII
spNO.13,i,2953,2969,2991,14,Macro-expression,VII
spNO.213,j,61,79,147,14,Macro-expression,VII
spNO.149,i,3153,3224,3437,R14,Macro-expression,VII
spNO.203,m,902,925,1018,23+14,Macro-expression,VII
spNO.210,i,545,553,605,4+9+R14,Micro-expression,VII
spNO.153,h,2333,2482,3475,4,Macro-expression,III
spNO.189,k,25,31,35,9,Micro-expression,IV
spNO.144,l,3494,3519,3563,14,Macro-expression,VII
spNO.169,g,2178,2201,2235,4,Macro-expression,III
spNO.5,e,1631,1638,1647,7,Micro-expression,VII
spNO.208,i,2359,2413,2423,4,Macro-expression,III
spNO.165,l,3079,3107,3171,28+14,Macro-expression,VII
spNO.8,f,1579,1592,1620,14,Macro-expression,VII
spNO.195,i,2844,2851,2886,14,Micro-expression,VII
spNO.195,h,1150,1164,1235,14,Macro-expression,VII
spNO.152,d,510,726,881,24+14+12,Macro-expression,VII
spNO.216,e,2753,2764,2769,R1+R2,Macro-expression,II
spNO.181,e,2781,2792,2818,4,Macro-expression,III
spNO.14,a,39,120,154,15,Macro-expression,V
spNO.181,l,1312,1321,1323,5,Micro-expression,II
spNO.193,e,110,113,117,4,Micro-expression,III
spNO.186,b,778,809,878,6,Macro-expression,I
spNO.189,e,8,8,28,14,Micro-expression,VII
spNO.189,g,367,372,376,9+4,Micro-expression,IV
spNO.217,d,107,118,137,L11,Macro-expression,VII
spNO.180,i,3244,3261,3276,16,Macro-expression,VII
spNO.169,e,684,701,753,24,Macro-expression,VII
spNO.186,c,1234,1250,1273,14,Macro-expression,VII
spNO.40,e,1703,1713,1731,18,Macro-expression,VII
spNO.184,m,902,912,924,4,Macro-expression,III
spNO.212,e,2095,2113,2178,14,Macro-expression,VII
spNO.215,f,284,296,345,28+14,Macro-expression,VII
spNO.171,k,132,146,170,4,Macro-expression,III
spNO.77,d,3961,3976,4198,15+14,Macro-expression,VII
spNO.147,g,825,850,987,2+1,Macro-expression,II
spNO.156,j,1604,1679,1720,R10,Macro-expression,IV
spNO.192,e,2188,2203,2295,4+1,Macro-expression,V
spNO.198,j,52,62,105,14,Macro-expression,VII
spNO.203,d,1696,1712,1778,14,Macro-expression,VII
spNO.216,h,756,783,797,38,Macro-expression,VII
spNO.194,g,288,295,303,17,Micro-expression,VII
spNO.10,k,1149,1303,1308,4,Macro-expression,III
spNO.218,i,416,425,439,4,Macro-expression,III
spNO.11,d,630,640,693,B28+14,Macro-expression,VII
spNO.157,a,981,1010,1024,4,Macro-expression,III
spNO.142,j,560,572,626,16+24+14,Macro-expression,VII
spNO.172,l,2309,2345,2412,14,Macro-expression,VII
spNO.189,m,1783,1841,1876,4+14,Macro-expression,VII
spNO.209,b,51,90,155,14,Macro-expression,VII
spNO.148,m,337,343,359,4,Micro-expression,III
spNO.186,k,2469,2497,2537,6+12,Macro-expression,I
spNO.172,l,1617,1623,1631,4,Micro-expression,III
spNO.203,m,401,436,902,T23+17,Macro-expression,VII
spNO.189,g,16,31,39,14+12+2+1,Macro-expression,VII
spNO.161,j,547,575,646,14,Macro-expression,VII
spNO.152,j,1126,1154,1194,24+14,Macro-expression,VII
spNO.39,i,4188,4231,4285,14,Macro-expression,VII
spNO.169,l,7,45,90,R2,Macro-expression,VII
spNO.14,J,119,136,143,L14,Macro-expression,VII
spNO.163,g,1809,1845,1874,38,Macro-expression,VII
spNO.147,i,2786,2807,2887,14,Macro-expression,VII
spNO.13,f,693,734,873,14+24,Macro-expression,VII
spNO.144,l,3211,3229,3258,14,Macro-expression,VII
spNO.142,f,260,268,282,16+24+14,Micro-expression,VII
spNO.160,i,1418,1425,1482,4,Micro-expression,III
spNO.162,b,1073,1094,1144,14,Macro-expression,VII
spNO.1,a,268,289,308,R10+38,Macro-expression,VII
spNO.163,g,2249,2289,2327,38,Macro-expression,VII
spNO.40,f,1257,1272,1329,14+17,Macro-expression,VII
spNO.197,j,28,43,86,24,Macro-expression,VII
spNO.187,d,3839,3885,3963,12,Macro-expression,I
spNO.201,c,2564,2574,2593,2+1,Macro-expression,II
spNO.166,i,806,832,902,4,Macro-expression,III
spNO.153,a,271,374,622,12+24+23+14+7+6,Macro-expression,VII
spNO.171,f,1404,1417,1432,2+1,Macro-expression,II
spNO.148,e,495,592,637,4,Macro-expression,III
spNO.41,a,378,392,430,38,Macro-expression,VII
spNO.210,k,373,417,553,12+14+28,Macro-expression,VII
spNO.12,a,322,327,336,7,Micro-expression,VII
spNO.189,b,9,40,96,14+9+4,Macro-expression,VII
spNO.201,i,2179,2194,2250,4+7,Macro-expression,III
spNO.183,c,2747,2766,2789,2+1,Macro-expression,II
spNO.42,e,2646,2654,2667,4,Micro-expression,III
spNO.161,h,178,210,253,4,Macro-expression,III
spNO.160,b,12,26,44,24+14,Macro-expression,VII
spNO.149,h,1515,1545,1618,28,Macro-expression,VII
spNO.216,i,1,69,183,14+38,Macro-expression,VII
spNO.165,l,1015,2041,2794,4+L14+L14+L14+L14+L14+L14+L14,Macro-expression,VII
spNO.163,g,1272,1285,1309,R14,Macro-expression,VII
spNO.215,k,644,663,720,1+2,Macro-expression,II
spNO.179,e,2701,2716,2736,2+1,Macro-expression,II
spNO.203,e,2711,2752,2815,24+14,Macro-expression,VII
spNO.77,g,353,360,420,4,Micro-expression,III
spNO.202,g,1892,1927,1968,14,Macro-expression,VII
spNO.181,j,1117,1153,1343,12+6,Macro-expression,I
spNO.157,i,1317,1723,2432,4,Macro-expression,III
spNO.176,g,2525,2546,2574,14,Macro-expression,VII
spNO.181,b,447,457,491,4,Macro-expression,III
spNO.217,d,2032,2046,2060,14,Macro-expression,VII
spNO.201,i,2310,2340,2390,9+4,Macro-expression,IV
spNO.144,m,1627,1653,1745,10+9+4,Macro-expression,VII
spNO.174,d,1173,1242,1345,B28+14,Macro-expression,VII
spNO.140,f,288,319,376,12,Macro-expression,I
spNO.169,e,76,88,107,4,Macro-expression,III
spNO.197,g,178,188,207,24+2+1,Macro-expression,VII
spNO.12,j,762,777,796,14,Macro-expression,VII
spNO.207,a,449,460,473,14+T24,Macro-expression,VII
spNO.4,g,1927,1962,2002,14+4,Macro-expression,VII
spNO.187,c,2705,2780,2857,12+14,Macro-expression,VII
spNO.40,c,8,8,45,14+24,Micro-expression,VII
spNO.158,k,211,395,562,12,Macro-expression,I
spNO.4,b,685,727,773,4+14+24,Macro-expression,VII
spNO.160,l,1091,1099,1111,2+1,Micro-expression,II
spNO.11,f,13,13,40,2+1,Micro-expression,II
spNO.150,k,341,347,372,38,Micro-expression,VII
spNO.165,l,3200,3252,3378,L14+4,Macro-expression,VII
spNO.160,d,2952,2958,3007,4,Micro-expression,III
spNO.215,i,964,981,1008,14,Macro-expression,VII
spNO.184,a,259,340,714,12+5+4+4,Macro-expression,VII
spNO.149,m,1571,1627,1770,12+24,Macro-expression,VII
spNO.147,c,294,341,446,R10+4+14,Macro-expression,VII
spNO.197,m,1556,1568,1582,5,Macro-expression,II
spNO.10,d,71,97,126,12,Macro-expression,I
spNO.189,e,2095,2101,2105,9+4,Micro-expression,IV
spNO.202,j,611,659,1048,14,Macro-expression,VII
spNO.77,h,2532,2542,2591,4,Macro-expression,III
spNO.147,e,2512,2523,2540,5,Macro-expression,II
spNO.9,g,234,237,251,4,Micro-expression,III
spNO.10,a,61,80,117,10+4+17,Macro-expression,VII
spNO.215,d,2810,2823,2866,14,Macro-expression,VII
spNO.189,l,233,240,250,15,Micro-expression,V
spNO.207,c,3285,3293,3353,4,Micro-expression,III
spNO.140,e,47,156,396,12,Macro-expression,I
spNO.40,f,5,14,50,14+23,Macro-expression,VII
spNO.152,m,1919,1950,2073,24+14,Macro-expression,VII
spNO.8,h,1396,1409,1433,14,Macro-expression,VII
spNO.42,g,1732,1800,1857,24+14,Macro-expression,VII
spNO.214,f,7,237,2299,4,Macro-expression,III
spNO.15,i,838,1726,3389,4,Macro-expression,III
spNO.42,b,336,356,418,4,Macro-expression,III
spNO.163,d,3584,3640,3679,38,Macro-expression,VII
spNO.148,f,999,1030,1105,2+1,Macro-expression,II
spNO.188,d,111,121,148,2+1,Macro-expression,II
spNO.217,b,920,928,945,17,Micro-expression,VII
spNO.160,f,1833,1841,1872,2+1,Micro-expression,II
spNO.144,h,1892,1901,1923,24+14,Macro-expression,VII
spNO.181,m,423,428,503,2+1,Micro-expression,II
spNO.187,l,3416,3434,3584,24+14,Macro-expression,VII
spNO.196,f,635,650,688,38,Macro-expression,VII
spNO.181,k,996,1026,1079,4+2+1,Macro-expression,VI
spNO.216,m,2611,2627,2653,7,Macro-expression,VII
spNO.143,h,232,253,275,14,Macro-expression,VII
spNO.167,j,418,422,437,2+1,Micro-expression,II
spNO.171,a,316,325,342,7,Macro-expression,VII
spNO.184,b,312,338,428,24+14+7,Macro-expression,VII
spNO.160,k,206,805,2065,12+14+15+17+14+2+1,Macro-expression,VII
spNO.186,k,1033,1048,1074,6+12,Macro-expression,I
spNO.1,k,1877,1886,1893,R12,Macro-expression,I
spNO.203,g,1202,1246,1283,28+14+16,Macro-expression,VII
spNO.12,e,323,335,343,7,Macro-expression,VII
spNO.208,d,1783,1885,2034,4+5,Macro-expression,VII
spNO.143,c,2654,2797,2833,14,Macro-expression,VII
spNO.216,d,2389,2408,2447,38,Macro-expression,VII
spNO.40,e,1523,1533,1548,18,Macro-expression,VII
spNO.215,f,5,5,56,14,Micro-expression,VII
spNO.160,i,3141,3156,3174,4,Macro-expression,III
spNO.150,g,734,737,765,2+1,Micro-expression,II
spNO.210,e,2723,2769,2859,14,Macro-expression,VII
spNO.160,b,148,183,194,14,Macro-expression,VII
spNO.151,h,1420,1472,1553,24+14,Macro-expression,VII
spNO.149,c,911,943,1012,14,Macro-expression,VII
spNO.169,h,1744,1765,1787,7,Macro-expression,VII
spNO.180,b,5,26,58,14,Macro-expression,VII
spNO.198,e,1906,1969,2125,T28+10+10+10+17,Macro-expression,VII
spNO.8,l,2147,2152,2162,14,Micro-expression,VII
spNO.177,l,2678,2696,2740,38,Macro-expression,VII
spNO.194,j,781,819,952,7+4,Macro-expression,III
spNO.183,c,2837,2858,2900,4,Macro-expression,III
spNO.184,e,414,425,461,L2+L1+5,Macro-expression,VII
spNO.210,e,1898,1907,1943,14,Macro-expression,VII
spNO.189,a,959,981,1024,14,Macro-expression,VII
spNO.163,j,770,790,893,28+14,Macro-expression,VII
spNO.152,g,255,276,304,24+14,Macro-expression,VII
spNO.179,g,2197,2222,2254,7,Macro-expression,VII
spNO.39,a,271,280,297,5,Macro-expression,II
spNO.8,k,1803,1811,1822,T24,Micro-expression,VII
spNO.157,h,342,351,401,14,Macro-expression,VII
spNO.144,l,2051,2095,2151,14,Macro-expression,VII
spNO.216,k,2617,2726,2764,12,Macro-expression,I
spNO.40,e,2327,2363,2403,14,Micro-expression,VII
spNO.142,g,2106,2132,2178,24+14,Macro-expression,VII
spNO.11,a,413,415,418,25,Micro-expression,II
spNO.216,d,3933,3946,3985,R14,Macro-expression,VII
spNO.165,l,170,192,263,4,Macro-expression,III
spNO.194,m,1954,1957,1971,17+15,Micro-expression,V
spNO.12,g,757,779,796,7,Macro-expression,VII
spNO.147,b,79,113,201,r18,Macro-expression,VII
spNO.166,i,470,486,655,4,Macro-expression,III
spNO.208,i,1725,1756,1794,4,Macro-expression,III
spNO.193,i,43,73,103,17,Macro-expression,VII
spNO.145,g,125,147,164,5+2+1,Macro-expression,VII
spNO.11,g,2040,2050,2059,14,Macro-expression,VII
spNO.170,d,2568,2580,2611,14,Macro-expression,VII
spNO.165,c,945,949,954,2+1,Micro-expression,II
spNO.195,h,7,7,79,14,Micro-expression,VII
spNO.198,j,1766,1798,1877,14,Macro-expression,VII
spNO.160,c,2283,2290,2298,4,Micro-expression,III
spNO.214,j,1792,1805,1850,4,Macro-expression,III
spNO.4,a,7,7,49,14,Micro-expression,VII
spNO.207,b,397,448,549,4+24,Macro-expression,VII
spNO.152,d,3608,3700,3740,12+14,Macro-expression,VII
spNO.40,k,1030,1039,1078,17,Macro-expression,VII
spNO.166,j,117,131,144,14,Macro-expression,VII
spNO.156,l,106,109,114,38,Micro-expression,VII
spNO.195,k,1150,1160,1171,24,Macro-expression,VII
spNO.3,h,1172,1179,1198,L1+L2,Micro-expression,II
spNO.187,f,702,724,752,14,Macro-expression,VII
spNO.204,d,42,54,124,14,Macro-expression,VII
spNO.203,g,5,87,108,28+14,Macro-expression,VII
spNO.208,k,1567,1617,1867,12,Macro-expression,I
spNO.154,d,3116,3156,3305,10+7+4,Macro-expression,IV
spNO.147,d,1211,1222,1339,10+4,Macro-expression,VII
spNO.210,c,2576,2617,2718,28+14,Macro-expression,VII
spNO.163,g,2054,2095,2143,38,Macro-expression,VII
spNO.42,c,484,500,543,4,Macro-expression,III
spNO.160,k,2426,2433,2450,4,Micro-expression,III
spNO.215,k,2455,2471,2502,4+1,Macro-expression,V
spNO.202,f,547,582,717,14,Macro-expression,VII
spNO.3,h,1881,1907,1932,38,Macro-expression,VII
spNO.4,k,92,100,291,4,Micro-expression,III
spNO.174,l,3023,3071,3121,14,Macro-expression,VII
spNO.198,h,1977,3421,3513,4,Macro-expression,III
spNO.179,j,625,714,889,12+6+24,Macro-expression,VII
spNO.145,d,364,391,448,14,Macro-expression,VII
spNO.142,c,33,39,51,4,Micro-expression,III
spNO.149,i,971,985,1116,14,Macro-expression,VII
spNO.42,c,319,334,356,4,Macro-expression,III
spNO.217,e,610,615,637,1+2,Micro-expression,II
spNO.200,k,387,395,414,17,Micro-expression,VII
spNO.159,a,53,63,102,R12,Macro-expression,I
spNO.188,c,309,317,333,2+1,Micro-expression,II
spNO.144,m,2186,2329,2432,24+10+4+9,Macro-expression,VII
spNO.197,m,59,74,109,38,Macro-expression,VII
spNO.196,l,3080,3108,3137,28+14,Macro-expression,VII
spNO.215,f,461,475,538,14,Macro-expression,VII
spNO.149,g,2584,2612,2657,14,Macro-expression,VII
spNO.153,j,417,450,477,7,Macro-expression,VII
spNO.149,k,155,164,274,14,Macro-expression,VII
spNO.215,m,2187,2215,2241,17,Macro-expression,VII
spNO.215,d,2354,2364,2476,L14,Macro-expression,VII
spNO.201,d,107,119,127,2+1,Macro-expression,II
spNO.189,k,139,150,282,14+4,Macro-expression,VII
spNO.179,l,940,989,1022,28+14,Macro-expression,VII
spNO.208,c,2219,2255,2263,4,Macro-expression,III
spNO.209,e,19,72,112,14,Macro-expression,VII
spNO.215,c,193,205,226,4+1,Macro-expression,V
spNO.189,g,1273,1285,1299,14,Macro-expression,VII
spNO.169,c,1209,1225,1237,5,Macro-expression,II
spNO.13,f,1014,1018,1033,4,Micro-expression,III
spNO.146,g,2345,2354,2367,4,Macro-expression,III
spNO.39,j,931,951,1082,12,Macro-expression,I
spNO.197,m,431,437,460,4,Micro-expression,III
spNO.149,i,1848,1852,1861,25,Micro-expression,II
spNO.165,e,7,11,19,4,Micro-expression,III
spNO.189,d,2190,2207,2232,14,Macro-expression,VII
spNO.156,l,3859,3868,3876,R2,Macro-expression,VII
spNO.189,m,387,391,394,4,Micro-expression,III
spNO.217,l,164,172,200,7,Micro-expression,VII
spNO.77,f,377,400,479,23+14,Macro-expression,VII
spNO.148,b,336,342,348,4,Micro-expression,III
spNO.151,g,410,488,688,28,Macro-expression,VII
spNO.40,e,1420,1461,1523,14,Macro-expression,VII
spNO.193,a,8,8,130,14,Micro-expression,VII
spNO.169,g,1776,1799,1863,24+R2,Macro-expression,VII
spNO.200,k,5,69,164,L20+23+14+16,Macro-expression,VII
spNO.11,a,446,463,485,25+14,Macro-expression,VII
spNO.142,f,1007,1065,1115,24+14,Macro-expression,VII
spNO.210,b,5,5,36,B28,Micro-expression,VII
spNO.8,h,2030,2038,2068,14,Micro-expression,VII
spNO.142,m,2708,2728,2757,14,Macro-expression,VII
spNO.40,j,136,150,184,14,Macro-expression,VII
spNO.215,g,1732,1758,1799,14,Macro-expression,VII
spNO.40,f,1372,1385,1414,14,Macro-expression,VII
spNO.152,k,929,955,1021,24+14,Macro-expression,VII
spNO.147,k,1267,1284,1690,2+1,Macro-expression,II
spNO.172,g,657,670,703,14,Macro-expression,VII
spNO.152,j,878,918,979,24+14,Macro-expression,VII
spNO.11,m,1783,1797,1805,14,Macro-expression,VII
spNO.157,d,2991,3012,3170,14,Macro-expression,VII
spNO.189,j,326,350,395,39+14,Macro-expression,VII
spNO.40,g,126,164,290,14,Macro-expression,VII
spNO.203,g,309,327,365,17+24+14,Macro-expression,VII
spNO.170,j,764,782,818,14,Macro-expression,VII
spNO.203,f,163,184,211,14,Macro-expression,VII
spNO.151,h,1581,1602,1745,4,Macro-expression,III
spNO.148,m,805,814,828,4,Macro-expression,III
spNO.149,l,3337,3383,3466,T28,Macro-expression,VII
spNO.154,h,134,193,248,14+4,Macro-expression,VII
spNO.145,i,302,338,424,14,Macro-expression,VII
spNO.148,c,1665,1672,1890,4,Micro-expression,III
spNO.184,c,3372,3394,3464,14,Macro-expression,VII
spNO.189,j,780,785,809,14,Micro-expression,VII
spNO.13,l,2096,2099,2107,24,Micro-expression,VII
spNO.208,c,520,533,553,4,Macro-expression,III
spNO.216,d,1043,1063,1163,14,Macro-expression,VII
spNO.152,e,1890,1921,2009,24+14,Macro-expression,VII
spNO.210,k,1397,1418,1429,12+23,Macro-expression,VII
spNO.162,m,1613,1653,1718,14,Macro-expression,VII
spNO.203,e,475,494,541,14,Macro-expression,VII
spNO.188,e,8,8,39,2+1,Micro-expression,II
spNO.4,f,1061,1091,1273,4,Macro-expression,III
spNO.17,f,583,593,608,2+1,Macro-expression,II
spNO.152,l,2284,2369,2410,24+14,Macro-expression,VII
spNO.194,c,2209,2216,2228,2+1,Micro-expression,II
spNO.184,c,221,241,288,5+14,Macro-expression,VII
spNO.144,m,220,238,263,4,Macro-expression,III
spNO.162,m,1271,1285,1311,7+4,Macro-expression,III
spNO.169,a,349,360,376,L2+L1,Macro-expression,II
spNO.210,a,84,145,212,14+12,Macro-expression,VII
spNO.10,l,1407,1414,1424,4,Micro-expression,III
spNO.183,c,2968,3001,3034,4,Macro-expression,III
spNO.2,j,649,681,750,38,Macro-expression,VII
spNO.160,h,3142,3178,3242,14,Macro-expression,VII
spNO.152,i,133,140,409,24+14+4,Micro-expression,VII
spNO.182,l,368,379,428,14,Macro-expression,VII
spNO.17,i,155,167,354,2+1,Macro-expression,II
spNO.42,m,2058,2063,2076,4,Micro-expression,III
spNO.204,g,37,48,71,14,Macro-expression,VII
spNO.178,j,740,759,763,12,Macro-expression,I
spNO.152,c,1561,1596,1697,24+14,Macro-expression,VII
spNO.147,l,7,61,204,14,Macro-expression,VII
spNO.42,k,2434,2450,2481,14+12+1,Macro-expression,VII
spNO.152,i,1436,1467,1521,24+14,Macro-expression,VII
spNO.42,j,686,735,773,12+14,Macro-expression,VII
spNO.14,l,360,369,389,14,Macro-expression,VII
spNO.150,d,908,921,948,R12+4,Macro-expression,VII
spNO.11,g,250,272,289,14+16,Macro-expression,VII
spNO.195,k,7,7,242,14,Micro-expression,VII
spNO.179,d,1059,1282,1649,10+10+9+4,Macro-expression,VII
spNO.160,i,1270,1276,1281,4,Micro-expression,III
spNO.197,d,3362,3371,3399,24,Macro-expression,VII
spNO.40,g,375,438,532,14+7+10,Macro-expression,VII
spNO.202,j,1593,1606,1662,R10,Macro-expression,IV
spNO.171,d,4191,4333,4453,12,Macro-expression,I
spNO.181,i,1151,1161,1190,14,Macro-expression,VII
spNO.216,m,148,189,210,4,Macro-expression,III
spNO.158,i,389,424,433,4,Macro-expression,III
spNO.142,f,1966,1976,1994,R14,Macro-expression,VII
spNO.146,m,384,441,510,15+L10,Macro-expression,VII
spNO.187,i,977,1000,1063,14,Macro-expression,VII
spNO.165,j,559,656,809,14+12+4+4+4+4,Macro-expression,VII
spNO.77,e,46,66,90,38,Macro-expression,VII
spNO.1,d,223,237,249,14,Macro-expression,VII
spNO.218,i,530,555,581,21,Macro-expression,VII
spNO.162,c,2239,2252,2265,4,Macro-expression,III
spNO.182,f,270,315,441,28+14,Macro-expression,VII
spNO.41,e,448,485,815,5+4,Macro-expression,VII
spNO.160,e,1182,1204,1318,24+14,Macro-expression,VII
spNO.166,i,2381,2401,2422,T28+14,Macro-expression,VII
spNO.217,k,1136,1146,1159,14,Macro-expression,VII
spNO.160,i,2356,2367,2407,4,Macro-expression,III
spNO.40,e,2081,2103,2169,L14,Macro-expression,VII
spNO.12,l,2487,2498,2513,L14,Macro-expression,VII
spNO.169,k,416,429,457,R2,Macro-expression,VII
spNO.183,m,133,137,148,1,Micro-expression,V
spNO.11,d,1779,1791,1802,14,Macro-expression,VII
spNO.186,i,1176,1784,2705,4,Macro-expression,III
spNO.215,d,2996,2999,3016,1+2,Micro-expression,II
spNO.190,m,8,8,737,1,Micro-expression,V
spNO.208,c,17,128,207,12+4,Macro-expression,VII
spNO.176,b,150,189,228,14,Macro-expression,VII
spNO.152,c,77,133,256,24+14+4,Macro-expression,VII
spNO.200,b,226,233,255,2+1,Micro-expression,II
spNO.40,e,2169,2181,2191,18,Macro-expression,VII
spNO.207,c,2373,2384,2417,R14,Macro-expression,VII
spNO.77,f,490,503,542,15,Macro-expression,V
spNO.143,h,138,157,208,38,Macro-expression,VII
spNO.157,d,4394,4453,4504,14,Macro-expression,VII
spNO.151,f,5,181,383,B28+17+14,Macro-expression,VII
spNO.181,l,3487,3511,3629,1,Macro-expression,V
spNO.180,g,7,28,137,14+16,Macro-expression,VII
spNO.150,d,3335,3347,3371,1,Macro-expression,V
spNO.142,d,2756,2768,2784,2+1,Macro-expression,II
spNO.184,c,466,471,490,24+14,Micro-expression,VII
spNO.177,j,701,923,1170,10+12,Macro-expression,VII
spNO.151,c,2168,2200,2619,10+4,Macro-expression,VII
spNO.179,k,1407,1415,1438,4,Micro-expression,III
spNO.210,h,2571,2587,2640,14,Macro-expression,VII
spNO.216,d,2017,2047,2074,38,Macro-expression,VII
spNO.151,g,2327,2354,2556,24+14,Macro-expression,VII
spNO.11,i,3035,3056,3119,4,Macro-expression,III
spNO.160,e,2961,2991,3049,14,Macro-expression,VII
spNO.181,i,2251,2759,2998,4+R2+R1+2+1+14,Macro-expression,VII
spNO.152,m,2144,2204,2303,24+14,Macro-expression,VII
spNO.42,d,3975,3985,4013,14,Macro-expression,VII
